Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
F,20,1.71,,UZB,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
M,29,,,ARM,2020,Summer,Tokyo,Silver,"Wrestling Men's Light-Heavyweight, Greco-Roman"
F,23,1.88,,SRB,2020,Summer,Tokyo,Bronze,Volleyball Women's Volleyball
M,34,,,SRB,2020,Summer,Tokyo,Gold,Water Polo Men's Water Polo
F,19,1.75,,UKR,2020,Summer,Tokyo,Bronze,Women's Artistic Swimming
F,19,1.76,,UKR,2020,Summer,Tokyo,Bronze,Women's Artistic Swimming
F,30,,,ITA,2020,Summer,Tokyo,,Weightlifting Women's Super-Heavyweight
F,23,,,ETH,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,20,,,ITA,2020,Summer,Tokyo,,Taekwondo Men's Flyweight
F,29,1.93,,CAN,2020,Summer,Tokyo,,Basketball Women's Basketball
F,23,1.71,,AUT,2020,Summer,Tokyo,,Women's Artistic Swimming
F,23,1.72,,AUT,2020,Summer,Tokyo,,Women's Artistic Swimming
F,24,,,SWE,2020,Summer,Tokyo,,Boxing Women's Flyweight
M,30,1.93,,ROU,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,26,,,KUW,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
M,31,1.79,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,25,,,AZE,2020,Summer,Tokyo,Bronze,Boxing Men's Light-Welterweight
M,20,1.71,,KSA,2020,Summer,Tokyo,,Football Men's Football
F,46,,,SWE,2020,Summer,Tokyo,,Women's Equestrian
M,21,1.83,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,29,,,UAE,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,23,1.82,,KSA,2020,Summer,Tokyo,,Football Men's Football
M,26,,,NIG,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
M,29,,,JOR,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,27,,,KSA,2020,Summer,Tokyo,,Weightlifting Men's Lightweight
M,32,1.84,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
